"﻿""EDULIT_IND""",Indicator,LOCATION,Country,TIME,Time,Value
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1970,1970,50.84694
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1973,1973,70.37476
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1976,1976,76.23951
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1977,1977,71.38366
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1978,1978,70.66107
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1981,1981,67.62309
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1983,1983,64.45504
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1984,1984,63.05989
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1985,1985,61.23318
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1986,1986,60.23253
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1987,1987,59.24138
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1988,1988,69.54457
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1989,1989,69.51527
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,1990,1990,72.4646
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,2005,2005,91.88718
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,2006,2006,92.57638
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,2008,2008,89.77981
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,2009,2009,90.54656
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",BGD,Bangladesh,2010,2010,90.50861
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1987,1987,29.48959
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1988,1988,30.06222
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1989,1989,28.77544
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1994,1994,19.15098
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1995,1995,21.89509
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1996,1996,26.13699
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1998,1998,33.60573
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,1999,1999,35.60525
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2000,2000,40.058
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2001,2001,43.78517
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2002,2002,45.88963
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2003,2003,46.64398
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2004,2004,49.50609
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2005,2005,60.41486
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2006,2006,65.17804
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2007,2007,70.2648
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2008,2008,75.98866
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2009,2009,75.58275
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2010,2010,73.60556
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2011,2011,77.5834
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2012,2012,78.92306
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2014,2014,85.84677
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ETH,Ethiopia,2015,2015,85.58775
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2008,2008,76.57646
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2009,2009,86.26923
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2010,2010,95.68398
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2011,2011,98.31827
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2012,2012,96.78866
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2013,2013,97.12942
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2014,2014,96.64362
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TLS,Timor-Leste,2015,2015,95.59233
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,1994,1994,93.37255
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,1998,1998,93.3295
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,1999,1999,90.45709
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2000,2000,89.34666
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2001,2001,86.45957
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2007,2007,98.37024
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2009,2009,98.27545
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2010,2010,95.36435
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2011,2011,93.84516
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2012,2012,94.7999
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2014,2014,96.05325
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",WSM,Samoa,2015,2015,95.95162
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1970,1970,99.89875
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1971,1971,99.70403
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1972,1972,99.97909
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1973,1973,99.11621
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1974,1974,99.24391
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1975,1975,99.54017
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1976,1976,99.65971
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1977,1977,99.58102
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1978,1978,99.45048
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1979,1979,99.42886
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1980,1980,99.47996
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1981,1981,99.32529
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1982,1982,99.21342
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1983,1983,98.84412
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1984,1984,99.50129
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1985,1985,99.56521
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1986,1986,99.73915
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1987,1987,99.84166
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1988,1988,99.90544
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1989,1989,99.82611
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1990,1990,99.52486
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1991,1991,98.8945
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1992,1992,97.44795
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1994,1994,97.03376
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1995,1995,98.38564
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1996,1996,98.84282
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1997,1997,99.75478
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1998,1998,99.27954
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,1999,1999,99.17331
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2000,2000,98.73814
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2001,2001,97.06369
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2002,2002,96.6548
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2003,2003,97.8017
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2004,2004,98.0808
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2005,2005,98.90444
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2006,2006,98.96819
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2007,2007,99.53024
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2008,2008,99.45914
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2009,2009,99.29822
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2010,2010,99.31358
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2011,2011,98.94053
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2012,2012,98.33248
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2013,2013,98.26603
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2014,2014,98.42879
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",NZL,New Zealand,2015,2015,99.08248
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,1999,1999,97.49777
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2000,2000,97.77519
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2001,2001,98.24126
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2002,2002,97.89753
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2003,2003,98.02005
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2004,2004,97.60062
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2005,2005,97.47131
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2006,2006,97.00253
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2007,2007,97.23679
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2008,2008,97.20302
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2009,2009,96.90659
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2010,2010,97.04565
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2011,2011,96.70118
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2012,2012,97.31173
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2013,2013,96.87254
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2014,2014,96.72031
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",ISR,Israel,2015,2015,97.20388
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1974,1974,84.74755
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1985,1985,90.64816
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1986,1986,91.42397
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1987,1987,90.97677
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1988,1988,92.57126
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1989,1989,92.5774
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1990,1990,94.37859
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1991,1991,93.80055
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1992,1992,94.08176
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1993,1993,91.77833
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1994,1994,91.05924
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1995,1995,90.55437
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1997,1997,79.41841
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,1999,1999,94.2962
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,2000,2000,95.83536
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,2001,2001,96.37757
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,2002,2002,96.70977
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,2003,2003,97.1484
NER_1_CP,"Net enrolment rate, primary, both sexes (%)",TUR,Turkey,2004,2004,97.47683
