"﻿""EDULIT_IND""",Indicator,LOCATION,Country,TIME,Time,Value
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,1999,1999,77.81521
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2000,2000,76.80775
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2001,2001,72.42378
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2002,2002,76.79607
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2003,2003,72.36007
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2004,2004,73.44491
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2005,2005,75.11459
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2007,2007,80.51711
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2008,2008,74.48249
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2009,2009,77.71421
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ABW,Aruba,2011,2011,76.93623
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,1974,1974,8.44359
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,1993,1993,15.55174
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,2007,2007,28.04189
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,2013,2013,48.87529
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,2014,2014,48.75032
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AFG,Afghanistan,2015,2015,48.87893
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AGO,Angola,1972,1972,4.21337
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AGO,Angola,1982,1982,5.8063
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AGO,Angola,2008,2008,10.1277
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AGO,Angola,2009,2009,10.60603
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AGO,Angola,2010,2010,12.37506
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ALB,Albania,2000,2000,67.04211
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ALB,Albania,2001,2001,68.75755
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ALB,Albania,2013,2013,84.02378
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ALB,Albania,2014,2014,85.27821
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ALB,Albania,2015,2015,85.91445
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1978,1978,26.8682
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1980,1980,37.36392
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1991,1991,59.19457
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1992,1992,61.59422
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1993,1993,65.55525
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1994,1994,70.83112
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1995,1995,74.35999
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1997,1997,71.63289
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARE,United Arab Emirates,1998,1998,71.47864
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,1974,1974,40.23707
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,1975,1975,41.72664
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,1998,1998,74.56531
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,1999,1999,76.6031
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2000,2000,78.96792
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2001,2001,79.45185
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2002,2002,79.35948
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2003,2003,79.16624
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2004,2004,79.35903
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2005,2005,78.98121
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2006,2006,79.1071
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2007,2007,79.19828
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2008,2008,80.34799
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2009,2009,82.40899
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2010,2010,83.99682
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2011,2011,85.22158
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2012,2012,87.3181
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2013,2013,88.16032
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARG,Argentina,2014,2014,88.246
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARM,Armenia,2005,2005,85.59681
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARM,Armenia,2006,2006,87.93843
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARM,Armenia,2007,2007,90.15799
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARM,Armenia,2008,2008,84.05499
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ARM,Armenia,2009,2009,89.10058
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2000,2000,69.10701
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2009,2009,86.49334
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2010,2010,85.54702
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2012,2012,90.92281
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2014,2014,79.73144
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",ATG,Antigua and Barbuda,2015,2015,81.61052
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,1993,1993,86.82004
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,1994,1994,86.81789
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,1995,1995,86.98398
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,1996,1996,88.63548
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2002,2002,88.3386
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2003,2003,86.6425
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2004,2004,86.28893
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2005,2005,84.96111
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2006,2006,84.37379
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2007,2007,84.43958
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2008,2008,84.81926
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2009,2009,85.97519
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2010,2010,86.23238
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2011,2011,86.39829
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2012,2012,86.11638
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2013,2013,86.83034
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUS,Australia,2014,2014,87.57285
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUT,Austria,1971,1971,68.72616
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUT,Austria,1972,1972,68.67346
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUT,Austria,1974,1974,68.25228
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUT,Austria,1975,1975,70.26343
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",AUT,Austria,1976,1976,70.62379
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1976,1976,2.07553
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1977,1977,2.10288
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1980,1980,2.18169
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1982,1982,2.56104
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1983,1983,2.39685
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1984,1984,2.477
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1985,1985,2.6869
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1986,1986,2.90475
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1987,1987,3.20064
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,1993,1993,4.96068
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2009,2009,12.85387
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2010,2010,14.87204
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2011,2011,16.49577
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2012,2012,17.89663
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2013,2013,20.67532
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2014,2014,24.94818
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BDI,Burundi,2015,2015,27.6824
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,1977,1977,77.45255
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,1993,1993,96.36156
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,1994,1994,98.0119
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,1995,1995,98.79733
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,1996,1996,97.22319
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,2004,2004,85.7732
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,2005,2005,85.664
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,2013,2013,94.90897
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,2014,2014,95.2856
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEL,Belgium,2015,2015,95.2952
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEN,Benin,2000,2000,17.25822
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEN,Benin,2001,2001,18.64569
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEN,Benin,2013,2013,42.03142
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BEN,Benin,2015,2015,44.96982
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1983,1983,2.46756
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1985,1985,2.99355
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1986,1986,3.50964
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1989,1989,5.27344
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1992,1992,6.67478
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1993,1993,6.86091
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1994,1994,6.86524
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,1999,1999,8.63809
NER_2T3_CP,"Net enrolment rate, secondary, both sexes (%)",BFA,Burkina Faso,2001,2001,7.98013
